ID#	1
Name	Methane
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
61	A-1927_1042023_1732_060.gcd	Unknown	0	6.001	14884684	1107383	1691.768	-----	57.645	50.798	-----	-----
62	A-1697_1042023_1732_061.gcd	Unknown	0	6.000	15239768	1126933	1732.126	-----	89.212	86.144	-----	-----
63	A-1699_1042023_1732_062.gcd	Unknown	0	6.000	14537041	1076391	1652.255	-----	90.701	88.006	-----	-----
64	A-1717_1042023_1732_063.gcd	Unknown	0	6.003	8559527	639224	972.861	-----	81.605	77.034	-----	-----
65	A-1709_1042023_1732_064.gcd	Unknown	0	6.002	8287933	619752	941.992	-----	77.105	71.805	-----	-----
66	A-1928_1042023_1732_065.gcd	Unknown	0	6.002	9038974	675954	1027.354	-----	61.838	55.146	-----	-----
67	A-1929_1042023_1732_066.gcd	Unknown	0	6.002	9868163	736885	1121.599	-----	91.707	89.283	-----	-----
68	A-1930_1042023_1732_067.gcd	Unknown	0	6.001	9403948	703742	1068.837	-----	70.238	64.022	-----	-----
69	A-1931_1042023_1732_068.gcd	Unknown	0	6.001	10167541	758922	1155.625	-----	95.226	93.774	-----	-----
70	A-1679_1042023_1732_069.gcd	Unknown	0	6.002	4320046	324731	491.009	-----	76.114	70.767	-----	-----
71	A-1700_1042023_1732_070.gcd	Unknown	0	6.001	4275602	321803	485.958	-----	55.754	48.970	-----	-----
72	A-1763_1042023_1732_071.gcd	Unknown	0	6.003	4248820	320287	482.914	-----	75.035	69.504	-----	-----
73	A-1764_1042023_1732_072.gcd	Unknown	0	6.003	4774774	359045	542.693	-----	53.554	46.777	-----	-----
74	200$200$0_1042023_1732_073.gcd	Unknown	0	6.002	2082230	157425	236.663	-----	61.657	55.041	-----	-----
75	0$0$0.5_1042023_1732_074.gcd	Unknown	0	6.001	1167358	88070	132.680	-----	98.355	97.950	-----	-----
76	A-1932_1042023_1732_075.gcd	Unknown	0	6.003	4726400	356020	537.195	-----	40.077	33.891	-----	-----
77	A-1695_1042023_1732_076.gcd	Unknown	0	6.001	4729372	355752	537.532	-----	36.268	30.397	-----	-----
78	A-1716_1042023_1732_077.gcd	Unknown	0	6.002	6619471	496301	752.358	-----	71.937	66.029	-----	-----
