ID#	1											
Name	Methane											
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
107	A-1030_7272023_1212_106.gcd	Unknown	0	3.202	407991	39697	55.611	-----	7.485	9.571	-----	-----
108	A-1031_7272023_1212_107.gcd	Unknown	0	3.2	410129	40217	55.903	-----	8.083	10.364	-----	-----
109	A-1032_7272023_1212_108.gcd	Unknown	0	3.201	457111	45409	62.307	-----	9.191	11.824	-----	-----
110	A-1033_7272023_1212_109.gcd	Unknown	0	3.202	468476	46152	63.856	-----	9.251	11.851	-----	-----
111	A-1019_7272023_1212_110.gcd	Unknown	0	3.201	37204	3584	5.071	-----	0.927	1.19	-----	-----
112	A-1020_7272023_1212_111.gcd	Unknown	0	3.198	31939	3096	4.353	-----	0.774	0.999	-----	-----
113	A-1021_7272023_1212_112.gcd	Unknown	0	3.2	36741	3550	5.008	-----	0.899	1.158	-----	-----
114	A-1022_7272023_1212_113.gcd	Unknown	0	3.2	486287	48041	66.284	-----	5.92	7.721	-----	-----
115	A-1023_7272023_1212_114.gcd	Unknown	0	3.201	437748	43211	59.667	-----	4.71	6.17	-----	-----
116	A-1024_7272023_1212_115.gcd	Unknown	0	3.2	446227	43890	60.823	-----	5.591	7.274	-----	-----
117	A-1025_7272023_1212_116.gcd	Unknown	0	3.2	459434	45096	62.623	-----	5.476	7.123	-----	-----
118	A-1026_7272023_1212_117.gcd	Unknown	0	3.198	27871022	2724987	3798.969	-----	39.588	46.678	-----	-----
119	A-1027_7272023_1212_118.gcd	Unknown	0	3.199	27076957	2630648	3690.733	-----	40.085	47.087	-----	-----
120	A-1016_7272023_1212_119.gcd	Unknown	0	3.2	24283	2329	3.31	-----	0.643	0.822	-----	-----
121	A-1017_7272023_1212_120.gcd	Unknown	0	3.201	21986	2086	2.997	-----	0.586	0.743	-----	-----
122	200$200$0_7272023_1212_121.gcd	Unknown	0	3.2	1423202	140564	193.99	-----	40.296	47.098	-----	-----
123	0$0$0.5_7272023_1212_122.gcd	Unknown	0	3.199	149664	14608	20.4	-----	17.068	21.251	-----	-----
124	A-1018_7272023_1212_123.gcd	Unknown	0	3.201	80186	7736	10.93	-----	1.766	2.275	-----	-----
125	A-1010_7272023_1212_124.gcd	Unknown	0	3.2	1112487	110182	151.638	-----	23.57	29.001	-----	-----
126	A-1011_7272023_1212_125.gcd	Unknown	0	3.2	1130300	112188	154.066	-----	27.241	33.164	-----	-----
127	A-1012_7272023_1212_126.gcd	Unknown	0	3.201	1205748	119275	164.35	-----	28.192	34.221	-----	-----
128	A-1013_7272023_1212_127.gcd	Unknown	0	3.201	1062795	104666	144.865	-----	27.242	33.032	-----	-----
129	A-1014_7272023_1212_128.gcd	Unknown	0	3.201	1097618	108839	149.611	-----	27.079	32.978	-----	-----
